index,wav,label,text
0,000207.wav,7,一時鋁圈單後紅夫人英文鳳姐你今兒什麼樣鳳姐兒到太太只管請回去我需得先理出一個頭緒來才回去得呢王夫人聽說變先同行夫人等回去不在話下
1,000276.wav,5,取締酒後駕車勤務進行呼氣質酒測時會議警政署訂單取締酒後駕車作業程序規定確認受測者英九結束後食物分鐘並提供礦泉水漱口後才進行酒精濃度檢測
2,000748.wav,4,致伸縮喇家在五台山跟師父子增長老學會說因緣經驗你可將女兒長了我到你女兒房中說那二大王回心轉意不取你女兒
3,001111.wav,1,寄之盲校被叫姊親自去接又叫我先回公館裡去知道我就先回去了到了下午記之陪著他老太太來了記之夫人營出去我也是
4,001206.wav,3,關於難辭其者自身也為孫權所砂石半年的攻防戰中數中景不派兵網雲任起不滅認為諸葛亮音關與破壞農中隊所需要的連無抗曹政策
5,001299.wav,4,時近不知去哪兒了與終止好多次逃出為中到桃花山下奉上山寨大王傑洛大王不是他的對手請他身上讓他坐在主
6,001377.wav,7,伸側磨後只聽演員有人笑聲也有12時婦人一群系數建祿堂屋網那邊屋內去了又見兩三個婦人都捧著大7朋和進這邊來等候聽得那邊說了聲白飯店
7,001612.wav,4,太為命中能幫開始規角有三四尺深間有一塊青石板中人翹開始版紅信石頭一看是個黑洞洞的萬丈的雪
8,001622.wav,5,15年的舉辦今年的話會有26團參加用9天的時間來騎車到台灣1週期中的社團已經在10月22號出發切順利返回機率的團隊會在11月5號上午8點半左右分別從台北台中彰化吃
9,001906.wav,2,5G西洋太熟馬騰并州刺史韓遂街道皇帝密照後期冰沙向長安馬騰兒子嗎超雖只有17歲但應永和人連殺理首相機員大將石中英兵馬斷糧草不得不退回西涼
10,001908.wav,3,中法戰爭發生在1883年12月至1885年4月間是清朝為了保護越南而與法國發生的戰爭戰是出在越南境內展開外法國上派遣部隊攻打雲南邊界並由法
11,002187.wav,5,該規定19日起生效將通知各國提出成癮防治對策該直營旭明電玩成癮症狀包括無法控制的打電玩將電玩至於其他生活興趣之前
12,002254.wav,5,河北雄安新區生態環境局昨日在雄安新區容呈現掛牌成立這是至今年生態環境部組建以來中國全國範圍內首個成立的地方生態環境局河北省環保廳
13,002341.wav,6,橋頭有扁扁上寫有凌雲渡長生說著瞧人者能過得另找路八戒沙僧都不敢過戶空跳上翹左搖右晃跑過橋海過來過來生人還是不敢過戶公回來找發間八屆乾脆躺在地上死活不起來
14,002371.wav,3,建立或收手術後凸的算法沿著述的深度便利署的節點儘可能生的搜索樹的分枝當節點滴的所在天都已被探尋過搜索將回溯到發現節點滴的那條邊的其實潔墊這一過程
15,002670.wav,6,開啟聲賦王正慧行遠路和尚的話國王說那道人推我做緊實臉我的金鑲白玉圭一同推入他衰變成我的模樣都都少了這與歸我把與歸留下當表記他一見就會相信師父的話
16,002728.wav,7,該做什看他來怎麼樣拼隔音問道這炸了這味道也是因什麼只管來鳳姐兒隨將9月裡在您福園子裡遇見他的光景他說的話都告訴了平和平和收到了阿嬤想天鵝肉差別人倫的混帳東西想起這個念頭叫他不得好死
17,002816.wav,3,大冠軍連鎖健身房成吉思汗健身館的創辦人兼執行長因此能稱館長袁明程式和錯號標和台北蘆洲人吃慣宜蘭2017年遷居新北市林口區
18,002925.wav,7,鋼製院門前只見亡夫人的丫鬟明金差額者和一個才留了頭的小女孩兒傳在台機上玩劍周瑞家的來了便知有話回應向那努嘴兒
19,003097.wav,4,魯智深問你那同裡裝的是什麼看著說只有自身問多少錢一桶和子說著就只賣給室內的火弓道人直聽覺夫幹雜活的人吃部感染與和尚
20,003335.wav,4,製造的好久這樣全樟山寺百專戶請來吃而一旬九說少華山劇了一夥強人打家劫舍危害地方早晚會來我們裝打結果今天請你們來商量就是他們來時我身上敲擊棒子你們都要互相就應大家同心協力共保地方愛你
21,003573.wav,7,說話之間已來到了天香樓的後門健保育和一群丫頭們在哪裡玩呢鳳姐說到飽兄弟別毯淘氣了有一個丫頭說道太太們都在樓上坐著呢請奶奶就從這邊上去吧
22,003666.wav,3,2006年成棒隊在杜哈亞運拿下來的一面亞運金牌而巧固球則至1980年代以來數十次在世界巧固球賽錦標賽1級週記賽事中得到世界冠軍2009年於高雄市舉辦的世界運動會為台灣
23,003715.wav,4,父女倆親如打上手作了邊境酒邊說的感謝話三人正英九中原會回來了金落格兩人引見了賺外說應的事我都知道了這裡正當大姐不是9月的地方公不如跟我到鄉下莊苑裡多幾天
24,003806.wav,7,查令夫人之後到上下無一人不稱頌他夫人的臉也倒退了1歲之地說模樣又吃標致癌痰又吃爽立新奇又吉生氣盡是個男人萬不及一的
25,003876.wav,6,悟空櫃下達地址的根源已漸漸兼顧了祖師說你學會了長生不老之法但有三次大概會降臨500年後天將雷再打你再過500年天降音火燒你再過500年天降音風吹你
26,004009.wav,0,去的人都不發後來又說是要到他們跟前去清明他們今天當面這支票就變了閻王臉了我實在怕看見我錢也不要了關也不做了這樣無限量的背屈
27,004023.wav,7,蘇菲小王在室溫泉堂圖將來除鳳清於老鳳聲未可量也假正忙陪笑道全紫棋感沒有曾經講耐煩菌與榛果如是言一飲生被知性與水溶又到只是一件
28,004254.wav,7,睡袋的袋女王夫人作詞大家送至川堂前出了垂花門找有種小廝們啦過一輛粹為輕舟車行夫人西熱帶雨作上中朴子們放下車簾坊名小廝們抬起拉至寬處方
29,004525.wav,4,路達又說在切10斤肥肉不要一丁點筋肉也要切呈現正圖說經絡可包餛飩肥肉有什麼用乳答說這是小種金月相公的命令誰敢多問
30,004630.wav,5,141 1美元年增29趴其中中國廠商有4家進入前25名分別是騰訊網頁完美世界和三七互娛寫景騰訊一家就佔據了全球遊戲市場總收入的15%
31,004905.wav,7,話說寧國府中都總管來勝文得裡面為情的鳳姐因傳奇同事冷冷說道如今請了師父李連二奶奶管理那是他和她來自取東西或是說話我們需要比往日小心些每日大家找來晚上
32,004969.wav,4,王靜說申訴我無禮去兵器加上取一條綁項後生劈頭打去後生忙舉辦招架不料王靜卻半路上搜主棒抽回來批胸點去後生猝不及防政中心口不通摔倒
33,005129.wav,4,致伸一把鐮頭巾戴頭髮通通揪著一聲直娘賊右手就是一拳2大王鯨叫做什麼打老公
34,005193.wav,4,致伸縮式破了9間要打40族秘感下山去自身兩眼一瞪罵到他娘的你兩個想打我們之間是不好一個非也是分近似報信一個用族必然他
35,005245.wav,6,命中生拿出來讓唐朝的老爺見識見識老師讓人開了庫房排出12個櫃子是周承上繩子把家刷一件件搭上果然都是錦繡玲羅金美無比
36,005295.wav,4,突然的雪那一陣雷鳴似的響亮一道黑氣衝出來先他了半個電腳直衝到半天雲消散作百十道金光往四面八方去了
37,005699.wav,6,悟空這才進東方夏詩賦詩的說2怪被我裝進葫蘆洲會該化成膿血了大會被我打敗逃往鴨龍洞去了一棟的小妖鏡被我打死
38,005996.wav,3,太平到手裡張餃給兄弟張良和張寶率數十萬興圖發期民變死城黃巾之亂亂世範圍迅速擴大很快發展成全國性的戰亂
39,006218.wav,3,初獲得張廷玉女偶爾泰的協助穩定政局他以寬猛相濟的理念實證借予康熙帝的人後語雍正帝的眼科之間人口不斷增加使乾隆末年突破300000000大關約戰戰時當時
40,007356.wav,0,楊坤療並不是天生的特別種族就是平民變舊的現在學生出生的官僚就不少和老官僚有什麼兩樣呢ED則皆然思想言論舉動風采
41,007705.wav,1,前日上苑10單單傳的他進去叫他好好的出去料理不然這個拐騙巨資的踢了出去就要揍餐的下的她昨日去球反拍攝法最為繁臺本來是不大理會他的差使月發一他是個
42,008252.wav,4,21龜鳳政法三要皈敬師有此是三皈五戒者一不要殺生2不要偷盜3不要贏邪事不要貪95不要妄語
43,008413.wav,4,週通見了自身埋怨李忠哥哥你不與小弟出氣到把這禿驢請上山來里中說你知道他是誰他就是我常說的三拳打死鎮關西的魯提轄
44,008561.wav,5,複製圖檔修改釋憲違反研究倫理年台大校長楊泮池共同掛名的論文也受波及台大叔度成立特別委員會進行調查科技部長楊弘敦表示科技部也已對此案展開學術倫理審查程序若確有違反科技部學術倫理案件處理及審議要點規
45,009111.wav,7,如今生腿是了可見這長房內角面無人了說著又哭起來眾人忙勸道人飲食是哭也無意且傷一如何料理要緊假真拍手道如何料理不過盡我所有罷了
46,009234.wav,2,項羽建立了漢朝代城到皇帝任用宦官長太宗2 20的100000官是你更加猖獗大將軍鬥泰富城蕃計畫消滅宦官因為洩漏秘反被宦官殺害這10個弄權的宦官
47,009270.wav,3,淡水河曾文溪大甲溪烏溪疏忽然希特勒西區中部地區的濁水溪雖然最常人而已流域面積而論為軍南部地區的高屏溪最大其他主要河流上有大安溪北港溪巴掌
48,009295.wav,1,這件事實在不能盡力只好方面的了這一千兩銀子的票子請大人帶回去另外想髮子吧不要誤了是雷西到翻台同老歌的交情是大家都曉得的老歌肯當面拒說我
49,009480.wav,7,晚上也和可去衝樹菇名指是木金行南路費一概不錯神經入園費賴麥子傳聞雞難道者攝影不再說完便到胸和不到言語酒有此性一旦妹與胸10胸並未談及
50,009593.wav,3,歷史與荷蘭聯合申辦及西班牙與葡萄牙聯合申辦經過這次投票後國際組中宣部俄羅斯成為2018年世界盃主辦國主辦會場位於俄羅斯代歐洲地區的城市冠軍戰將在莫斯科體育場舉行
51,009847.wav,4,王淨覺開門上裝釘說明來意裝釘平民裝組太空太空迎了出來王靜晃說姓張在東京做生意賠了本錢要去延安撫投奔親戚
52,010019.wav,5,綠5月23日發佈4月工業生產統計新聞資料時實施採民國105年幾期的回溯秀政治98年70年資97年資料值1元訂機指數年增率進行銜接
53,010046.wav,6,土地你姓什麼猴王說性生活給你幾個發明吧我也法名叫孫悟空我再給你起個渾名稱為行者從此霧峰幼教申請者柏青告詞回去物空就保持三藏西行
54,010106.wav,4,路達班的調長庚往店門口一放坐在那裡知道顧墨金老婦女走遠了看看天色不著這才直奔狀元橋
55,010665.wav,5,異形大成立毒品查緝中心希望透過積極行動降低毒品所衍生的社會問題並且整合檢調憲兵觀霧海巡等吸毒相關單位將毒品正式宣戰交出亮眼成績單
56,010714.wav,7,自哪一個人寫給方妙恰好呼從千里之外解讀之為小小一個人家櫻羽絨服略有些瓜隔著日正往容府中來因此便就此一家說來倒還是頭緒
57,011099.wav,7,狗兒笑道不妨我教你了一個法子你竟帶了外孫子小板而先去找培坊週銳若見了他就有些意思了這周瑞賢實成和我父親教過一樁事我們吃好的
58,011333.wav,1,不會畫有人請教他時他便請人家帶筆劃了自己提上兩句詩寫上一個款便算是他畫的了我說到這個與他有什麼好處呢既知道他的仿單非常之桂華一把扇子
59,011719.wav,5,規定公平會18號委員會議決議通過處弘音公司10000000元罰鍰公平會副主委邱永和說
60,011860.wav,2,約玩劉玄德心玲徐州可網投資不從其眼鏡頭徐州來有人報之玄德玄德曰不奶當晶英泳姿勢可出營之謎主約呂布來虎狼之徒不可收
61,012006.wav,2,日語張角在廣中大戰應他成敗如此為師就帥君去支援如此讓劉備去飲川資源皇甫嵩朱俊劉備就算居西也敢去澎湖松雨珠菌錠劑火工黃巾軍燒得張寶張良大敗
62,012017.wav,0,站在床面前看著他的臉書店家叫他們出發的下半天來我可不能這麼說他們不相信不答應的有什麼不相信他們可以問去全衙門裡什麼人也沒有
63,012064.wav,4,也是高球時來運轉活該發奇納氣球飛起來端王沒接著紙滾到他腳邊他撞期打來10個鴛鴦館將球踢還端王
64,012302.wav,6,買到金山現了中神將羅漢就讓悟空再去挑戰空來到洞口破口大罵那怪提箱出洞見面就是悟空轉身就跑那怪正趕著忽聽有人高校那牛爾會跟我回家無軍艦是老君大吃一驚真不知物空怎麼找到他主人的忙泡圈指數
65,012636.wav,5,你開始傳文化部就可以協助媒合陰道有興趣的學生學習傳統工藝或是藝術專業工作等有助於學生未來自來水展和聲學規劃
66,012979.wav,6,鸚鵡記唐僧都轉碼頭卻見一通石壁上面有3個轉子流沙河還有四行楷書860沙界三千弱水生兒毛飄不起如花釘底城
67,013107.wav,6,發現說是這樣幾時才能走道空說若是2位賢的十多天也可走一趟若是老孫一天也走50趟兩頭還見太陽落論師父別想
68,013124.wav,4,過了我沒有天長老修書一封叫過自身說你兩次吃醉酒大鬧五台山飛彈在校園外面紙上的文殊勝的也容不得你了我有一個濕地現在東京大相國寺岡住持法號
69,013229.wav,2,就派人先和進進攻而進自覺的手中掌握天下大全時常是不敢把他怎麼樣變不聽勸阻進了皇宮跟進門便被亂刀砍死戶送合進進攻的袁紹曹操在宮門外等了很久不見和競走
70,013231.wav,5,網路服務解決連線被防火牆封鎖問題而另一問題是除非對於虛擬私人網路公司有一定程度信賴否則很難確保這些公司不會私下記錄使用者的使用情形在安全隱私上面一成為另一隱憂
71,013399.wav,0,普通飛宇著他一開桌子用出頭蛇的崛起士塊大方專利師黃澄澄的細沙的時候打開顯露出下面的黑土來他給小新的幽靜的一處一處往下覺然而生葉修禁太緊進了間且出土的聲音總士頓中的不肯男人的發想
72,013478.wav,4,高球無以為生紙得來到懷希林淮舟投奔一個開讀訪的柳大郎一住3年
73,013667.wav,4,衛頭領漲使勁將他們綁了送交官府免受牽連使勁笑道我要綁了你們天下好漢都要笑話我會了一氣今天既然如此索性一不做二不休跟他們拼個你死我活
74,013687.wav,5,白河新技術任意美國和中國為主導AI要落實到每一個領域終究還是需要整合產品之運算晶片關鍵零組件系統組裝軟體介面服裝設計資產業價值鏈才能發揮實際運用因此從接收大數據的各式感應器到各項系
75,014120.wav,0,記得什麼書上說有一種東西叫還以娜的眼光和樣子都很難看直腸獅子肉年級大的骨頭都細細嚼慢嚥下肚子去想起來也叫人害怕
76,014146.wav,2,讓皇太后主持政治說完後動著變面令左右夫皇帝下電解下他的福喜讓她往北面長貴皇帝和太后都哭了大成本非常悲痛在下面的一位大成這時大叫到辦賊動著感一天鵝
77,014255.wav,7,愛的淚珠有一老人年說道不要問他的是何苦耍他印像劉姥姥到那州大爺以往南邊去了他在後一代住者他娘子卻在家你要找時從這邊繞道後接上後門上去問就是了
78,014596.wav,4,七日小王都太尉取回憶龍比價又一個金盒子病症徵獅子成了又凰螺包好寫一封書信讓高球給官網送去給端王
79,014930.wav,4,校園外說若是留著恩公安宮有個三長兩短的讓恩公吃苦若是讓恩公就這麼走了我月漲的面子不好看到某有個主意可保安宮萬無一失物台山上有做文書院士林
80,014967.wav,2,花園中暗自流淚府中歌女雕蟾此時也在援中隊越長炭網友問他為什麼深夜不睡蓮聲嘆息貂蟬說他認為大人分優一包養育之恩光雲便告訴他想用連環計來除掉董卓貂蟬欣然允諾第二天
81,014983.wav,4,小王都太尉是折中天子的妹夫神中天子的駙馬喜愛風流人物正用得上高球便留下他當個清水
82,015032.wav,7,痊癒了如今既是把病耽誤到這個地位也是應由此在意我看來這病上有3分制得吃了我這要看作是夜間睡得著覺那時又添了2分拿手了
83,015146.wav,6,手槍法二人又鬥20荷腦膜下令從小要一擁而上付空左衝右突小要只進不退不由教召把棒拋棄變成千百條漫天飛舞打的小妖魂飛
84,015845.wav,1,做一個人了解等我說出來大眾聽聽呀我父子兩人同來我住的房昌是在外南房門口對著江面的我們已經睡了呼聽得我
85,016386.wav,6,what I天將把他立即出面太白金星又站出來說要猴子吱胡說不知道小在派兵政戰也不一定能剩他萬歲不如風他的空頭直嫌把他揚起來不再惹事生非就行了預訂就在寫了聖旨太驚心去朝安侯王
86,016473.wav,4,酒勁上來把聲一出了纏在腰間肉出一生花受晃著膀子上山來兩個門子遠遠望見拿著足碧藍黨致伸縮式破了九屆要打40燭比趕下山去
87,016940.wav,7,變口吐人言像那聲道說到大師地址存物不能見你了日文兩位彈那人是兼容樂繁華心切慕吱的姊姊雖出水性卻稍統空間2師先行到底定飛繁體
88,017090.wav,4,穿上衣賞說不瞞你說撒家園市關係經略府的提轄音三拳打死鎮關西這才落髮為僧修說這幾個小賊就是千軍萬馬撒家也不怕他
89,017434.wav,0,你怎麼這樣憑空污人清白什麼清白我前天親眼見你偷了何家的輸掉這打孔乙己便漲紅的臉和尚的青筋條條站出征變盜竊書不能算偷竊書
90,017713.wav,5,去年統計的還要多了14個免簽國進步5名與梵蒂岡並列26另外中國大陸則有70個免簽國未列68吊車尾的是阿富汗及伊拉克景30個國家免簽
91,017740.wav,4,置身又忍不住走出三門只聽三下一陣叮叮噹噹的打鐵聲隨風傳來便帶上些營養下得山來
92,018551.wav,5,相國際社會透明展示關閉豐西里和試驗設施的承諾希望聯合國方面參觀該過程且對執行情況進行核現並呼籲聯合國發表宣言支持2含在4月27日簽署的版本宣言
93,019197.wav,6,開的佛一會請二位光臨到人壽裁情深說好講電影明天拜瘦後天賦雁行折忍不住跳出叫道你這要怪偷了我的袈裟開什麼佛利會收走吃我一棒雙手舉辦打去
94,019310.wav,1,過了一會開上飯來我兩人對坐吃過了記之方才洗了臉換上衣服出去會那種雷西博變更了出去散在屏風後面去看他
95,020208.wav,7,住持色空好聲譽被新鮮橙色多情民生一輩皆靈使用特工漫看晚摘假真也無心茶飯應天晚不得進城就在盡是葫蘆
96,020573.wav,1,舔她笑道我覺得孩子氣昏了開水前也忘了開發說吧伸手摘要裡亂滔滔的伴天連半跟前毛也逃不出來嘴裡說欠著你的名字還你爸那個糖上不肯真愛他身邊認真的半文都沒有
97,020736.wav,0,你這死屍怎麼這時候才回來時到哪裡去了不管人家等你開飯旗津雖然住在農村卻早有些飛黃騰達的意思從他的祖父到他三代不滅除
98,020833.wav,3,流感覺因分析器的不同分為視覺聽覺味覺嗅覺觸覺運動覺機體覺平衡覺得人類可以用感覺去感受時間改變感覺與時間應該是相對的過患使用邏輯式
99,020922.wav,4,自古道一人得道雞犬升天高求也平步青雲飛黃騰達不上半年便當上殿帥府太尉
100,021001.wav,5,大學保健營養學系教授陳俊榮指出這些經過高溫烹煮的食物容易產生致癌物質可使用的肩膀可能很多成年交談或使用不當的清潔劑都會增加風險的調理方式的都是在那個鍵盤上面所製作的條例清潔方式不當的話就容易產生一些像多環芳香族
101,021236.wav,5,電腦去年11月出發性下肢麻短短一個月後病情迅速惡化確診室急性間椎盤突出骨刺開刀可能會有癱瘓風險無先生術後恢復良好但仍需要解鎖復健治療台北醫學大學副院長的問政說他常幾個月情況造成他的1個經不受力過度以後
102,021830.wav,4,不多時兩個賣唱的走進來一個是十八九歲的年輕婦人有幾分動人的顏色在一個四五六10歲的老頭
103,021950.wav,4,李宗要去追趕至深溝通說就是趕上我倆也不是他的對手所幸做個人清將來好見面
104,022039.wav,5,一些海運向北返回山東省青島母港引起國際高度矚目國防部發言人陳中吉少將中午受訪表示等你好的人主動向都在我方嚴密掌控當中請國人放心而有關中隊
105,022097.wav,0,獺祭儀表同情於校園的鎖心自然也贊成同僚的鎖中然而他人安卓在亞門中造粒的並不一同去討戰至有人疑心他孤高
106,022242.wav,6,太子問麗的和這老和尚說你能知過去未來知識你是用什麼算的空說我只聽三寸不爛之舌萬事敬之
107,022328.wav,4,大王喝呵大笑下了嗎拜了下來說哥哥別來無恙自身後退一步細看時卻是打虎將李忠
108,022481.wav,6,塞納加男人下田了只有女人在家做好飯正要往田裡送國中還有些過8就給八戒裝了一般八屆尋就露餡了本相正想著用什麼東西咬水
109,022707.wav,6,大順跳出門外罵道脫模者行孫來了大概說怎麼拿垃圾孫行者又來個者行孫二怪所管他呢帶我拿葫蘆去裝他就出了動門檻者行孫雨孫行者一模一樣只是略帶些
110,023227.wav,4,環境問題後生是太宗的兒子太空有看吃王竟是有高手讓兒子被王靖維斯厚陞揚言只要他能勝過我就把它為什麼通便從永王敬教訓一下這不知天高地厚的小子
111,023536.wav,1,你到的那幾天不錯是他差去了但不過到六合線去會神一鍵按前後3天就回來了在10天以前你伯父又求了凡台給他一個到通週刊荒的差使當天放了雜誌當天就品質
112,023695.wav,3,名稱後面會多了一個藍色勾勾的符號一死臉書確定為用戶本人的帳號通常是長發言賢齊常常討論串的臉書網路達人知名作家熱門的政治人物或是演藝圈中的知名人的才能通過臉書驗證
113,024015.wav,6,來到洞中他正要做師父師弟又見裡面有一道金光過去一看卻是羊脂玉淨瓶隨手拿了先不就長身便往外走正空間大概要進洞忙送筋斗雲走了大怪見屍橫遍的忍不住放聲大哭
114,024197.wav,2,深得廣耳廓面虎背熊腰是吳俊富春人性聲明堅是文台為孫子的後代他17歲13海道出名當上校為評判有公升為適宜城下邳城黃金起士泰劇懷
115,024367.wav,3,趙匡胤發動陳橋兵變薄後週地位而改原子力是為宋太祖史稱北宋
116,024485.wav,3,瑞士規模式與地震波最大政府以10為底的對數並選擇劇正陽100公里的距離為標準瑞士規模美正大一集釋放的能量約增加31.6倍相隔2級的規模及能量相差1000倍
117,024631.wav,4,葡萄王41中的影子盾騎改念把螢子掏出來還有書信一封裡吃也是得幾個字打開書信一看卻是強人給史靜地回書不由大喜花忙奔往現成報關
118,024646.wav,0,父親叫他認為他是能裝公斤桌小鳥雀的我與市日日盼望新年新年到潤土也就到了好容易到了年若有一日請告訴我認出來了
119,024883.wav,2,手下小豬安敢在此耀武揚威都於趕出帳去曹操曰德宮澤上荷紀貴賤虎元素曰既然工等只中一件令我當告退朝曰其可因應而誤大事業命宮身暫且待玄德
120,025443.wav,2,74強成績幹掉他現在懂著非常信任我我因此可以經常靠近同桌有聽說你有一把七星寶刀不願意借著寶寶倒入香果埔里刺殺他雖死無怨王語說到英國男友吃他懂酒的
121,026111.wav,6,曾說二哥笑什麼吧解說我只說老奶奶來了要吃我們原來不是老奶奶是就畫了來了殺生問什麼話把解說的嗎溫來了他彎下腰後面就翹起了猴子尾巴
122,026151.wav,1,我只得耐心再等一年打聽了幾次卻只不見回來我要請見伯母她又不肯見此時我已經住了十多天帶來的盤纏本來沒有多少此時看看要用完了心教得了不得
123,026193.wav,6,大怪舉起喧嘩府2怪舞動大砍刀石怪揮著歌搭乘一起贏的核戰悟空悟空與三個老妖大戰150何不分勝負
124,026267.wav,7,手絹泡舒服給少氣不絕於朦朧歲旭孟子與處不變是何地方忽見那香來了一聲一道且行且彈只聽到人問道你吸了這純物一遇和往那聲笑道你放心
125,026326.wav,5,是最瘦弱的老公獨自一人騎機車被風吹倒塌和剛剛被勸導的民眾趕緊上前協助
126,026933.wav,6,那虎跳開直立起來用左轉往胸前一抓脫下虎皮變成個妖精說我是黃蜂帶王不下的先鋒繃帶王織命哪幾個人去下酒你們是哪裡來的和尚
127,026969.wav,0,西瓜有這樣危險的經歷我先前單知道他在水果店裡出賣爸了我們殺的李朝訓要來的時候就有許多跳魚兒只是跳都有青蛙式的兩個角
128,027212.wav,7,空空道人乃從頭一看原來就是無才補天換行路世盟茫茫大是渺渺真人吸入紅塵粒徑離合悲歡炎涼世態的一段故事
129,027241.wav,0,而很兇猛插不咬人嗎有福他呢走到了看見查了你便是這畜生很靈力道向燈來但從胯下看和他的皮毛是由一般的華
130,027405.wav,5,藝術及AI應用等領域的發展並和許多國際大企業合作共同打造台灣人工智慧創新生態環境新思科技擁有先進全球的半導體設計軟體計數機App
131,027519.wav,3,這山區咖啡單子沒做張峰清治時期官服憂慮誰扣可麗雨林中竊取硫磺固定起放火燒山因此整個山區只能長出五節芒這類芒草
132,027804.wav,1,不出成就在書房裡通我談天我說起今日到祥針菇著指甲被那掌櫃拉著我訴說被騙的一節祭之歎道人心險詐型片來是常識這件事情我早就知道了你今日聽了那掌櫃的話只知道外面這些
